millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
169176,15:52:59,SAFETY,7.99,77.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1800,0.0000,0.0000,0.0000
169276,15:52:59,SAFETY,7.99,77.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1760,0.0000,0.0000,0.0000
169376,15:52:59,SAFETY,8.03,79.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1720,0.0000,0.0000,0.0000
169476,15:52:59,SAFETY,8.03,79.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1670,0.0000,0.0000,0.0000
169576,15:52:59,SAFETY,8.03,79.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1630,0.0000,0.0000,0.0000
169676,15:52:59,SAFETY,8.03,79.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1590,0.0000,0.0000,0.0000
169776,15:52:59,SAFETY,8.03,79.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1580,0.0000,0.0000,0.0000
169876,15:52:59,SAFETY,8.01,78.1,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1550,0.0000,0.0000,0.0000
169977,15:52:59,SAFETY,8.01,78.1,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1560,0.0000,0.0000,0.0000
170077,15:53:00,SAFETY,8.01,78.1,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1540,0.0000,0.0000,0.0000
170177,15:53:00,SAFETY,8.01,78.1,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1550,0.0000,0.0000,0.0000
170277,15:53:00,SAFETY,8.01,78.1,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1540,0.0000,0.0000,0.0000
170377,15:53:00,SAFETY,8.08,82.2,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1560,0.0000,0.0000,0.0000
170477,15:53:00,SAFETY,8.08,82.2,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1580,0.0000,0.0000,0.0000
170579,15:53:00,SAFETY,8.08,82.2,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1610,0.0000,0.0000,0.0000
170679,15:53:00,SAFETY,8.08,82.2,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1630,0.0000,0.0000,0.0000
170779,15:53:00,SAFETY,8.08,82.2,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1680,0.0000,0.0000,0.0000
170879,15:53:00,SAFETY,8.09,82.8,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1700,0.0000,0.0000,0.0000
170980,15:53:00,SAFETY,8.09,82.8,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1760,0.0000,0.0000,0.0000
171080,15:53:01,SAFETY,8.09,82.8,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1790,0.0000,0.0000,0.0000
171180,15:53:01,SAFETY,8.09,82.8,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1850,0.0000,0.0000,0.0000
171280,15:53:01,SAFETY,8.09,82.8,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1890,0.0000,0.0000,0.0000
171380,15:53:01,SAFETY,8.07,81.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1940,0.0000,0.0000,0.0000
171480,15:53:01,SAFETY,8.07,81.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.1990,0.0000,0.0000,0.0000
171580,15:53:01,SAFETY,8.07,81.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.2060,0.0000,0.0000,0.0000
171680,15:53:01,SAFETY,8.07,81.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.2090,0.0000,0.0000,0.0000
171780,15:53:01,SAFETY,8.07,81.5,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.2130,0.0000,0.0000,0.0000
171880,15:53:01,SAFETY,8.09,82.8,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.2200,0.0000,0.0000,0.0000
171980,15:53:01,SAFETY,8.09,82.8,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.2240,0.0000,0.0000,0.0000
172080,15:53:02,SAFETY,8.09,82.8,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.2310,0.0000,0.0000,0.0000
172180,15:53:02,SAFETY,8.09,82.8,0.1000,0.0200,-0.0024,0.0245,1.5000,1.4510,0.0269,5.7752,0.0011,0.0115,0.6562,2.500,0.100,0.500,3.100,1.500,0.080,0.500,0.2340,0.0000,0.0000,0.0000
