millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,u_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
5273,15:50:25,SAFETY,8.13,84.8,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,0,0,0,0
5373,15:50:25,SAFETY,8.13,84.8,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,0,0,0,0
5473,15:50:25,SAFETY,8.13,84.8,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.196,0,0,0
5573,15:50:25,SAFETY,8.13,84.8,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.189,0,0,0
5673,15:50:25,SAFETY,8.13,84.8,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.189,0,0,0
5773,15:50:25,SAFETY,8.12,84.6,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.182,0,0,0
5873,15:50:25,SAFETY,8.12,84.6,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.18,0,0,0
5973,15:50:25,SAFETY,8.12,84.6,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.173,0,0,0
6073,15:50:26,SAFETY,8.12,84.6,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.172,0,0,0
6173,15:50:26,SAFETY,8.12,84.6,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.169,0,0,0
6273,15:50:26,SAFETY,8,77.9,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.165,0,0,0
6373,15:50:26,SAFETY,8,77.9,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.16,0,0,0
6473,15:50:26,SAFETY,8,77.9,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.152,0,0,0
6573,15:50:26,SAFETY,8,77.9,0,0,0,0,0.5,0,0,0,0,0,0,1.6,0.1,0.1,3.1,1.5,0.08,0.6,1.149,0,0,0
