millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
3766,12:00:10,SAFETY,7.69,60.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000,0.100,1.000,3.100,1.500,0.080,0.300,0.0000,0.0000,0.0000,0.0000
3872,12:00:10,SAFETY,7.69,60.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000,0.100,1.000,3.100,1.500,0.080,0.300,0.0000,0.0000,0.0000,0.0000
3972,12:00:10,SAFETY,7.69,60.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000,0.100,1.000,3.100,1.500,0.080,0.300,1.3470,0.0000,0.0000,0.0000
4072,12:00:10,SAFETY,7.69,60.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000,0.100,1.000,3.100,1.500,0.080,0.300,1.3420,0.0000,0.0000,0.0000
4172,12:00:10,SAFETY,7.69,60.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000,0.100,1.000,3.100,1.500,0.080,0.300,1.3420,0.0000,0.0000,0.0000
4272,12:00:10,SAFETY,7.68,60.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000,0.100,1.000,3.100,1.500,0.080,0.300,1.3410,0.0000,0.0000,0.0000
4372,12:00:10,SAFETY,7.68,60.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000,0.100,1.000,3.100,1.500,0.080,0.300,1.3340,0.0000,0.0000,0.0000
4472,12:00:10,SAFETY,7.68,60.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000,0.100,1.000,3.100,1.500,0.080,0.300,1.3340,0.0000,0.0000,0.0000
4572,12:00:11,SAFETY,7.68,60.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000,0.100,1.000,3.100,1.500,0.080,0.300,1.3230,0.0000,0.0000,0.0000
4675,12:00:11,SAFETY,7.68,60.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000,0.100,1.000,3.100,1.500,0.080,0.300,1.3250,0.0000,0.0000,0.0000
