millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
189886,16:08:13,SAFETY,8.07,81.9,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5820,0.0000,0.0000,0.0000
189986,16:08:13,SAFETY,8.07,81.9,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5800,0.0000,0.0000,0.0000
190086,16:08:14,SAFETY,8.07,81.9,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5730,0.0000,0.0000,0.0000
190186,16:08:14,SAFETY,8.07,81.9,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5700,0.0000,0.0000,0.0000
190286,16:08:14,SAFETY,7.96,75.7,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5610,0.0000,0.0000,0.0000
190386,16:08:14,SAFETY,7.96,75.7,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5600,0.0000,0.0000,0.0000
190486,16:08:14,SAFETY,7.96,75.7,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5520,0.0000,0.0000,0.0000
190586,16:08:14,SAFETY,7.96,75.7,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5510,0.0000,0.0000,0.0000
190686,16:08:14,SAFETY,7.96,75.7,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5450,0.0000,0.0000,0.0000
190786,16:08:14,SAFETY,7.98,76.8,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5420,0.0000,0.0000,0.0000
190886,16:08:14,SAFETY,7.98,76.8,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5390,0.0000,0.0000,0.0000
190986,16:08:14,SAFETY,7.98,76.8,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5360,0.0000,0.0000,0.0000
191086,16:08:15,SAFETY,7.98,76.8,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5320,0.0000,0.0000,0.0000
191186,16:08:15,SAFETY,7.98,76.8,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5300,0.0000,0.0000,0.0000
191286,16:08:15,SAFETY,7.95,75.0,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5250,0.0000,0.0000,0.0000
191386,16:08:15,SAFETY,7.95,75.0,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5250,0.0000,0.0000,0.0000
191486,16:08:15,SAFETY,7.95,75.0,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5230,0.0000,0.0000,0.0000
191586,16:08:15,SAFETY,7.95,75.0,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5230,0.0000,0.0000,0.0000
191686,16:08:15,SAFETY,7.95,75.0,0.1000,-0.0900,-0.0098,0.0095,1.5000,1.4810,0.0193,2.1700,0.0865,0.0503,0.3059,2.000,0.100,1.000,3.100,1.500,0.080,0.500,0.5190,0.0000,0.0000,0.0000
