millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
3837,11:01:45,SAFETY,7.88,71.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,0.0000,0.0000,0.0000,0.0000
3937,11:01:45,SAFETY,7.88,71.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,0.0000,0.0000,0.0000,0.0000
4037,11:01:45,SAFETY,7.88,71.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5840,0.0000,0.0000,0.0000
4137,11:01:45,SAFETY,7.88,71.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5770,0.0000,0.0000,0.0000
4237,11:01:45,SAFETY,7.88,71.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5820,0.0000,0.0000,0.0000
4337,11:01:45,SAFETY,7.90,72.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5740,0.0000,0.0000,0.0000
4437,11:01:45,SAFETY,7.90,72.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5770,0.0000,0.0000,0.0000
4537,11:01:46,SAFETY,7.90,72.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5680,0.0000,0.0000,0.0000
4637,11:01:46,SAFETY,7.90,72.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5730,0.0000,0.0000,0.0000
4737,11:01:46,SAFETY,7.90,72.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5610,0.0000,0.0000,0.0000
4837,11:01:46,SAFETY,7.91,72.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5680,0.0000,0.0000,0.0000
4937,11:01:46,SAFETY,7.91,72.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5550,0.0000,0.0000,0.0000
5037,11:01:46,SAFETY,7.91,72.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5600,0.0000,0.0000,0.0000
5137,11:01:46,SAFETY,7.91,72.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5490,0.0000,0.0000,0.0000
5237,11:01:46,SAFETY,7.91,72.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5530,0.0000,0.0000,0.0000
5337,11:01:46,SAFETY,7.81,67.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5410,0.0000,0.0000,0.0000
5437,11:01:46,SAFETY,7.81,67.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5410,0.0000,0.0000,0.0000
5537,11:01:47,SAFETY,7.81,67.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5350,0.0000,0.0000,0.0000
5637,11:01:47,SAFETY,7.81,67.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5320,0.0000,0.0000,0.0000
5737,11:01:47,SAFETY,7.81,67.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5310,0.0000,0.0000,0.0000
5837,11:01:47,SAFETY,7.81,67.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5350,0.0000,0.0000,0.0000
5937,11:01:47,SAFETY,7.81,67.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5270,0.0000,0.0000,0.0000
6037,11:01:47,SAFETY,7.81,67.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5360,0.0000,0.0000,0.0000
6137,11:01:47,SAFETY,7.81,67.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5240,0.0000,0.0000,0.0000
6237,11:01:47,SAFETY,7.81,67.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5240,0.0000,0.0000,0.0000
6337,11:01:47,SAFETY,7.81,67.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5130,0.0000,0.0000,0.0000
6437,11:01:47,SAFETY,7.81,67.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5180,0.0000,0.0000,0.0000
6537,11:01:48,SAFETY,7.81,67.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5050,0.0000,0.0000,0.0000
6637,11:01:48,SAFETY,7.81,67.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5150,0.0000,0.0000,0.0000
6737,11:01:48,SAFETY,7.81,67.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5120,0.0000,0.0000,0.0000
6837,11:01:48,SAFETY,7.89,71.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5020,0.0000,0.0000,0.0000
6937,11:01:48,SAFETY,7.89,71.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5080,0.0000,0.0000,0.0000
7037,11:01:48,SAFETY,7.89,71.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4950,0.0000,0.0000,0.0000
7137,11:01:48,SAFETY,7.89,71.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.5030,0.0000,0.0000,0.0000
7237,11:01:48,SAFETY,7.89,71.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4900,0.0000,0.0000,0.0000
7337,11:01:48,SAFETY,7.82,68.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4950,0.0000,0.0000,0.0000
7437,11:01:48,SAFETY,7.82,68.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4870,0.0000,0.0000,0.0000
7538,11:01:49,MANUAL,7.82,68.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4900,0.0000,0.0000,0.0000
7639,11:01:49,MANUAL,7.82,68.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4870,0.0000,0.0000,0.0000
7740,11:01:49,MANUAL,7.82,68.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4970,0.0000,0.0000,0.0000
7840,11:01:49,MANUAL,7.84,68.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4780,0.0000,0.0000,0.0000
7941,11:01:49,MANUAL,7.84,68.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4960,0.0000,0.0000,0.0000
8041,11:01:49,MANUAL,7.84,68.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4730,0.0000,0.0000,0.0000
8142,11:01:49,MANUAL,7.84,68.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4850,0.0000,0.0000,0.0000
8243,11:01:49,MANUAL,7.84,68.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4730,0.0000,0.0000,0.0000
8344,11:01:49,MANUAL,7.81,67.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4790,0.0000,0.0000,0.0000
8444,11:01:49,MANUAL,7.81,67.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4700,0.0000,0.0000,0.0000
8545,11:01:50,MANUAL,7.81,67.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4750,0.0000,0.0000,0.0000
8645,11:01:50,MANUAL,7.81,67.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4720,0.0000,0.0000,0.4100
8746,11:01:50,MANUAL,7.81,67.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4720,0.0000,0.0000,0.4100
8846,11:01:50,MANUAL,7.70,61.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4710,0.0000,0.0000,0.4100
8946,11:01:50,MANUAL,7.70,61.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4710,0.0000,0.0000,0.4100
9047,11:01:50,MANUAL,7.70,61.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4650,0.0000,0.0000,0.2800
9147,11:01:50,MANUAL,7.70,61.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4700,0.0000,0.0000,0.2800
9247,11:01:50,MANUAL,7.70,61.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4630,0.0000,0.0000,0.3200
9348,11:01:50,MANUAL,7.74,63.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.100,3.100,1.500,0.080,0.600,1.4690,0.0000,0.0000,0.3900
