millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
280279,15:54:50,SAFETY,8.05,80.6,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4370,0.0000,0.0000,0.0000
280397,15:54:50,SAFETY,8.05,80.6,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4380,0.0000,0.0000,0.0000
280497,15:54:50,SAFETY,7.91,72.5,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4370,0.0000,0.0000,0.0000
280597,15:54:50,SAFETY,7.91,72.5,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4390,0.0000,0.0000,0.0000
280697,15:54:50,SAFETY,7.91,72.5,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4390,0.0000,0.0000,0.0000
280797,15:54:50,SAFETY,7.91,72.5,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4400,0.0000,0.0000,0.0000
280897,15:54:50,SAFETY,7.91,72.5,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4390,0.0000,0.0000,0.0000
280997,15:54:50,SAFETY,8.05,80.6,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4420,0.0000,0.0000,0.0000
281097,15:54:50,SAFETY,8.05,80.6,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4420,0.0000,0.0000,0.0000
281197,15:54:51,SAFETY,8.05,80.6,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4440,0.0000,0.0000,0.0000
281299,15:54:51,SAFETY,8.05,80.6,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4450,0.0000,0.0000,0.0000
281399,15:54:51,SAFETY,8.05,80.6,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4480,0.0000,0.0000,0.0000
281499,15:54:51,SAFETY,7.97,76.1,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4490,0.0000,0.0000,0.0000
281599,15:54:51,SAFETY,7.97,76.1,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4500,0.0000,0.0000,0.0000
281701,15:54:51,SAFETY,7.97,76.1,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4520,0.0000,0.0000,0.0000
281801,15:54:51,SAFETY,7.97,76.1,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4520,0.0000,0.0000,0.0000
281901,15:54:51,SAFETY,7.97,76.1,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4530,0.0000,0.0000,0.0000
282001,15:54:51,SAFETY,7.94,74.5,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4550,0.0000,0.0000,0.0000
282103,15:54:51,SAFETY,7.94,74.5,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4550,0.0000,0.0000,0.0000
282203,15:54:52,SAFETY,7.94,74.5,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4570,0.0000,0.0000,0.0000
282303,15:54:52,SAFETY,7.94,74.5,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4560,0.0000,0.0000,0.0000
282403,15:54:52,SAFETY,7.94,74.5,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4570,0.0000,0.0000,0.0000
282503,15:54:52,SAFETY,7.95,75.0,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4570,0.0000,0.0000,0.0000
282603,15:54:52,SAFETY,7.95,75.0,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4550,0.0000,0.0000,0.0000
282703,15:54:52,SAFETY,7.95,75.0,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4570,0.0000,0.0000,0.0000
282803,15:54:52,SAFETY,7.95,75.0,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4550,0.0000,0.0000,0.0000
282903,15:54:52,SAFETY,7.95,75.0,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4580,0.0000,0.0000,0.0000
283005,15:54:52,SAFETY,7.95,75.2,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4570,0.0000,0.0000,0.0000
283105,15:54:52,SAFETY,7.95,75.2,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4590,0.0000,0.0000,0.0000
283205,15:54:53,SAFETY,7.95,75.2,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4580,0.0000,0.0000,0.0000
283305,15:54:53,SAFETY,7.95,75.2,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4570,0.0000,0.0000,0.0000
283407,15:54:53,SAFETY,7.95,75.2,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4580,0.0000,0.0000,0.0000
283507,15:54:53,SAFETY,8.04,79.9,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4570,0.0000,0.0000,0.0000
283607,15:54:53,SAFETY,8.04,79.9,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4580,0.0000,0.0000,0.0000
283707,15:54:53,SAFETY,8.04,79.9,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4580,0.0000,0.0000,0.0000
283809,15:54:53,SAFETY,8.04,79.9,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4590,0.0000,0.0000,0.0000
283909,15:54:53,SAFETY,8.04,79.9,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4580,0.0000,0.0000,0.0000
284009,15:54:53,SAFETY,7.99,77.2,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4590,0.0000,0.0000,0.0000
284109,15:54:53,SAFETY,7.99,77.2,0.1000,-0.0200,0.0003,0.0345,1.5000,1.4310,0.0342,5.5343,0.0212,0.0144,0.6462,2.500,0.100,0.500,3.100,1.500,0.080,0.600,0.4570,0.0000,0.0000,0.0000
