millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
151085,16:34:43,SAFETY,7.90,72.1,0.1000,-0.0300,0.0014,-0.0032,1.5000,1.5080,-0.0046,1.4017,-0.0017,0.0001,0.2691,3.000,0.200,2.000,3.100,1.500,0.080,0.400,0.5850,0.0000,0.0000,0.0000
151189,16:34:43,SAFETY,7.90,72.1,0.1000,-0.0300,0.0014,-0.0032,1.5000,1.5080,-0.0046,1.4017,-0.0017,0.0001,0.2691,3.000,0.200,2.000,3.100,1.500,0.080,0.400,0.5840,0.0000,0.0000,0.0000
151289,16:34:43,SAFETY,7.90,72.1,0.1000,-0.0300,0.0014,-0.0032,1.5000,1.5080,-0.0046,1.4017,-0.0017,0.0001,0.2691,3.000,0.200,2.000,3.100,1.500,0.080,0.400,0.5810,0.0000,0.0000,0.0000
151389,16:34:43,SAFETY,7.95,75.0,0.1000,-0.0300,0.0014,-0.0032,1.5000,1.5080,-0.0046,1.4017,-0.0017,0.0001,0.2691,3.000,0.200,2.000,3.100,1.500,0.080,0.400,0.5820,0.0000,0.0000,0.0000
151489,16:34:43,SAFETY,7.95,75.0,0.1000,-0.0300,0.0014,-0.0032,1.5000,1.5080,-0.0046,1.4017,-0.0017,0.0001,0.2691,3.000,0.200,2.000,3.100,1.500,0.080,0.400,0.5790,0.0000,0.0000,0.0000
151589,16:34:43,SAFETY,7.95,75.0,0.1000,-0.0300,0.0014,-0.0032,1.5000,1.5080,-0.0046,1.4017,-0.0017,0.0001,0.2691,3.000,0.200,2.000,3.100,1.500,0.080,0.400,0.5810,0.0000,0.0000,0.0000
151689,16:34:43,SAFETY,7.95,75.0,0.1000,-0.0300,0.0014,-0.0032,1.5000,1.5080,-0.0046,1.4017,-0.0017,0.0001,0.2691,3.000,0.200,2.000,3.100,1.500,0.080,0.400,0.5770,0.0000,0.0000,0.0000
151789,16:34:43,SAFETY,7.95,75.0,0.1000,-0.0300,0.0014,-0.0032,1.5000,1.5080,-0.0046,1.4017,-0.0017,0.0001,0.2691,3.000,0.200,2.000,3.100,1.500,0.080,0.400,0.5790,0.0000,0.0000,0.0000
151889,16:34:43,SAFETY,7.97,76.1,0.1000,-0.0300,0.0014,-0.0032,1.5000,1.5080,-0.0046,1.4017,-0.0017,0.0001,0.2691,3.000,0.200,2.000,3.100,1.500,0.080,0.400,0.5770,0.0000,0.0000,0.0000
151989,16:34:43,SAFETY,7.97,76.1,0.1000,-0.0300,0.0014,-0.0032,1.5000,1.5080,-0.0046,1.4017,-0.0017,0.0001,0.2691,3.000,0.200,2.000,3.100,1.500,0.080,0.400,0.5780,0.0000,0.0000,0.0000
