millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
270790,16:36:42,SAFETY,7.85,69.2,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5350,0.0000,0.0000,0.0000
270894,16:36:42,SAFETY,7.85,69.2,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5360,0.0000,0.0000,0.0000
270994,16:36:42,SAFETY,7.79,66.0,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5380,0.0000,0.0000,0.0000
271094,16:36:42,SAFETY,7.79,66.0,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5420,0.0000,0.0000,0.0000
271194,16:36:43,SAFETY,7.79,66.0,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5440,0.0000,0.0000,0.0000
271294,16:36:43,SAFETY,7.79,66.0,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5460,0.0000,0.0000,0.0000
271394,16:36:43,SAFETY,7.79,66.0,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5470,0.0000,0.0000,0.0000
271494,16:36:43,SAFETY,7.81,67.2,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5480,0.0000,0.0000,0.0000
271594,16:36:43,SAFETY,7.81,67.2,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5460,0.0000,0.0000,0.0000
271694,16:36:43,SAFETY,7.81,67.2,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5490,0.0000,0.0000,0.0000
271794,16:36:43,SAFETY,7.81,67.2,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5460,0.0000,0.0000,0.0000
271894,16:36:43,SAFETY,7.81,67.2,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5480,0.0000,0.0000,0.0000
271994,16:36:43,SAFETY,7.85,69.4,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5490,0.0000,0.0000,0.0000
272094,16:36:43,SAFETY,7.85,69.4,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5460,0.0000,0.0000,0.0000
272194,16:36:44,SAFETY,7.85,69.4,0.1000,-0.0200,-0.0062,0.0008,1.5000,1.4980,0.0070,1.3082,0.0213,0.0137,0.3100,2.500,0.200,2.500,3.100,1.500,0.080,0.400,0.5470,0.0000,0.0000,0.0000
