millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
436569,16:12:20,SAFETY,7.89,71.4,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4890,0.0000,0.0000,0.0000
436669,16:12:20,SAFETY,7.89,71.4,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4890,0.0000,0.0000,0.0000
436769,16:12:20,SAFETY,7.89,71.4,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4910,0.0000,0.0000,0.0000
436869,16:12:20,SAFETY,7.89,71.4,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4940,0.0000,0.0000,0.0000
436969,16:12:20,SAFETY,7.89,71.4,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4940,0.0000,0.0000,0.0000
437069,16:12:20,SAFETY,7.91,73.0,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4980,0.0000,0.0000,0.0000
437169,16:12:21,SAFETY,7.91,73.0,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4950,0.0000,0.0000,0.0000
437269,16:12:21,SAFETY,7.91,73.0,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4990,0.0000,0.0000,0.0000
437369,16:12:21,SAFETY,7.91,73.0,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4960,0.0000,0.0000,0.0000
437469,16:12:21,SAFETY,7.91,73.0,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.5000,0.0000,0.0000,0.0000
437569,16:12:21,SAFETY,7.89,71.6,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4980,0.0000,0.0000,0.0000
437669,16:12:21,SAFETY,7.89,71.6,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.5000,0.0000,0.0000,0.0000
437769,16:12:21,SAFETY,7.89,71.6,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4980,0.0000,0.0000,0.0000
437869,16:12:21,SAFETY,7.89,71.6,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.5000,0.0000,0.0000,0.0000
437969,16:12:21,SAFETY,7.89,71.6,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4960,0.0000,0.0000,0.0000
438069,16:12:21,SAFETY,7.89,71.4,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4990,0.0000,0.0000,0.0000
438169,16:12:22,SAFETY,7.89,71.4,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4940,0.0000,0.0000,0.0000
438269,16:12:22,SAFETY,7.89,71.4,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4960,0.0000,0.0000,0.0000
438369,16:12:22,SAFETY,7.89,71.4,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4930,0.0000,0.0000,0.0000
438469,16:12:22,SAFETY,7.89,71.4,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4930,0.0000,0.0000,0.0000
438569,16:12:22,SAFETY,7.82,67.8,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4900,0.0000,0.0000,0.0000
438669,16:12:22,SAFETY,7.82,67.8,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4900,0.0000,0.0000,0.0000
438769,16:12:22,SAFETY,7.82,67.8,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4890,0.0000,0.0000,0.0000
438869,16:12:22,SAFETY,7.82,67.8,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4880,0.0000,0.0000,0.0000
438969,16:12:22,SAFETY,7.82,67.8,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4860,0.0000,0.0000,0.0000
439069,16:12:22,SAFETY,7.85,69.6,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4860,0.0000,0.0000,0.0000
439169,16:12:23,SAFETY,7.85,69.6,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4830,0.0000,0.0000,0.0000
439269,16:12:23,SAFETY,7.85,69.6,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4840,0.0000,0.0000,0.0000
439369,16:12:23,SAFETY,7.85,69.6,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4800,0.0000,0.0000,0.0000
439469,16:12:23,SAFETY,7.85,69.6,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4800,0.0000,0.0000,0.0000
439569,16:12:23,SAFETY,7.97,76.3,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4780,0.0000,0.0000,0.0000
439669,16:12:23,SAFETY,7.97,76.3,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4770,0.0000,0.0000,0.0000
439769,16:12:23,SAFETY,7.97,76.3,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4770,0.0000,0.0000,0.0000
439869,16:12:23,SAFETY,7.97,76.3,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4750,0.0000,0.0000,0.0000
439969,16:12:23,SAFETY,7.97,76.3,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4740,0.0000,0.0000,0.0000
440069,16:12:23,SAFETY,8.00,77.9,0.1000,0.0600,-0.0041,-0.0010,1.5000,1.5020,0.0031,1.0710,-0.0468,-0.0104,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4750,0.0000,0.0000,0.0000
440169,16:12:24,ALTITUDE_HOLD,8.00,77.9,0.1000,0.0000,0.0000,-0.0010,1.5000,1.5020,0.0031,0.0000,-0.0468,0.0000,0.2100,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4700,0.0000,0.0000,0.0000
440269,16:12:24,ALTITUDE_HOLD,8.00,77.9,0.1010,0.0198,0.0004,0.5140,1.5000,0.4720,0.5136,0.0000,5.0852,1.7063,1.0000,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4720,0.0000,0.0000,0.0000
440369,16:12:24,ALTITUDE_HOLD,8.00,77.9,0.1000,-0.0200,0.0010,0.5150,1.5000,0.4700,0.5140,0.0000,0.0038,1.1388,1.0000,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4700,0.0000,0.0000,0.0000
440469,16:12:24,ALTITUDE_HOLD,8.00,77.9,0.1000,0.0000,0.0009,0.5150,1.5000,0.4700,0.5141,0.0000,0.0009,0.7595,1.0000,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4700,0.0000,0.0000,0.0000
440569,16:12:24,ALTITUDE_HOLD,7.75,64.0,0.1000,-0.0100,0.0002,0.5155,1.5000,0.4690,0.5153,0.0000,0.0124,0.5105,1.0000,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4690,0.0000,0.0000,0.0000
440669,16:12:24,ALTITUDE_HOLD,7.75,64.0,0.1000,0.0300,-0.0001,0.5140,1.5000,0.4720,0.5141,0.0000,-0.0121,0.3363,1.0000,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4720,0.0000,0.0000,0.0000
440769,16:12:24,ALTITUDE_HOLD,7.75,64.0,0.1000,-0.0100,0.0005,0.5145,1.5000,0.4710,0.5140,0.0000,-0.0013,0.2237,1.0000,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4710,0.0000,0.0000,0.0000
440869,16:12:24,ALTITUDE_HOLD,7.75,64.0,0.1000,0.0500,0.0021,0.5120,1.5000,0.4760,0.5099,0.0000,-0.0407,0.1356,1.0000,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4760,0.0000,0.0000,0.0000
440969,16:12:24,ALTITUDE_HOLD,7.75,64.0,0.1000,0.0100,0.0049,0.5115,1.5000,0.4770,0.5066,0.0000,-0.0334,0.0793,1.0000,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4770,0.0000,0.0000,0.0000
441069,16:12:24,ALTITUDE_HOLD,7.76,64.2,0.1000,0.0500,0.0088,0.5090,1.5000,0.4820,0.5002,0.0000,-0.0634,0.0317,1.0000,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4820,0.0000,0.0000,0.0000
441169,16:12:25,ALTITUDE_HOLD,7.76,64.2,0.1000,0.0100,0.0129,0.5085,1.5000,0.4830,0.4956,0.0000,-0.0467,0.0056,1.0000,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4830,0.0000,0.0000,0.0000
441269,16:12:25,ALTITUDE_HOLD,7.76,64.2,0.1000,0.0600,0.0172,0.5055,1.5000,0.4890,0.4883,0.0488,-0.0724,-0.0204,0.9558,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4890,0.0000,0.0000,0.0000
441369,16:12:25,ALTITUDE_HOLD,7.76,64.2,0.1000,0.0000,0.0211,0.5055,1.5000,0.4890,0.4844,0.0973,-0.0395,-0.0268,0.9480,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4890,0.0000,0.0000,0.0000
441469,16:12:25,ALTITUDE_HOLD,7.76,64.2,0.1000,0.1000,0.0252,0.5005,1.5000,0.4990,0.4753,0.1448,-0.0905,-0.0480,0.9076,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.4990,0.0000,0.0000,0.0000
441569,16:12:25,ALTITUDE_HOLD,7.76,64.2,0.1000,0.0400,0.0306,0.4985,1.5000,0.5030,0.4679,0.1916,-0.0739,-0.0567,0.8892,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.5010,0.0000,0.0000,0.0000
441669,16:12:25,ALTITUDE_HOLD,7.76,64.2,0.1000,0.0300,0.0358,0.4970,1.5000,0.5060,0.4612,0.2377,-0.0672,-0.0602,0.8797,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.5110,0.0000,0.0000,0.0000
441769,16:12:25,ALTITUDE_HOLD,7.76,64.2,0.1000,0.1100,0.0405,0.4915,1.5000,0.5170,0.4510,0.2828,-0.1019,-0.0741,0.8475,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.5170,0.0000,0.0000,0.0000
441869,16:12:25,ALTITUDE_HOLD,7.76,64.2,0.1000,0.0800,0.0469,0.4875,1.5000,0.5250,0.4406,0.3269,-0.1038,-0.0840,0.8206,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.5250,0.0000,0.0000,0.0000
441969,16:12:25,ALTITUDE_HOLD,7.76,64.2,0.1000,0.1100,0.0548,0.4820,1.5000,0.5360,0.4272,0.3696,-0.1346,-0.1009,0.7770,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.5360,0.0000,0.0000,0.0000
442070,16:12:25,ALTITUDE_HOLD,7.73,62.9,0.1030,0.0000,0.0616,0.4820,1.5000,0.5360,0.4204,0.4129,-0.0653,-0.0888,0.7903,2.000,0.200,1.500,3.100,1.500,0.080,0.500,0.5420,0.0000,0.0000,0.0000
