millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
7264,11:32:46,SAFETY,7.72,62.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2890,0.0000,0.0000,0.0000
7364,11:32:46,SAFETY,7.72,62.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2760,0.0000,0.0000,0.0000
7464,11:32:46,SAFETY,7.72,62.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2710,0.0000,0.0000,0.0000
7564,11:32:46,SAFETY,7.72,62.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2660,0.0000,0.0000,0.0000
7664,11:32:46,SAFETY,7.72,62.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2570,0.0000,0.0000,0.0000
7764,11:32:46,SAFETY,7.71,61.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2480,0.0000,0.0000,0.0000
7864,11:32:46,SAFETY,7.71,61.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2450,0.0000,0.0000,0.0000
7964,11:32:46,SAFETY,7.71,61.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2340,0.0000,0.0000,0.0000
8064,11:32:47,SAFETY,7.71,61.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2220,0.0000,0.0000,0.0000
8164,11:32:47,SAFETY,7.71,61.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2260,0.0000,0.0000,0.0000
8264,11:32:47,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2110,0.0000,0.0000,0.0000
8364,11:32:47,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2100,0.0000,0.0000,0.0000
8464,11:32:47,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.2020,0.0000,0.0000,0.0000
8564,11:32:47,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.1980,0.0000,0.0000,0.0000
8664,11:32:47,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.1890,0.0000,0.0000,0.0000
8764,11:32:47,SAFETY,7.72,62.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.1830,0.0000,0.0000,0.0000
8864,11:32:47,SAFETY,7.72,62.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.1740,0.0000,0.0000,0.0000
8964,11:32:47,SAFETY,7.72,62.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.1600,0.0000,0.0000,0.0000
9064,11:32:48,SAFETY,7.72,62.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.1520,0.0000,0.0000,0.0000
9164,11:32:48,SAFETY,7.72,62.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.1430,0.0000,0.0000,0.0000
9264,11:32:48,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.1300,0.0000,0.0000,0.0000
9364,11:32:48,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.1240,0.0000,0.0000,0.0000
9464,11:32:48,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.1110,0.0000,0.0000,0.0000
9564,11:32:48,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.0990,0.0000,0.0000,0.0000
9664,11:32:48,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.0910,0.0000,0.0000,0.0000
9764,11:32:48,SAFETY,7.70,60.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.0840,0.0000,0.0000,0.0000
9864,11:32:48,SAFETY,7.70,60.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.0690,0.0000,0.0000,0.0000
9964,11:32:48,SAFETY,7.70,60.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.0660,0.0000,0.0000,0.0000
10064,11:32:49,SAFETY,7.70,60.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.0510,0.0000,0.0000,0.0000
10164,11:32:49,SAFETY,7.70,60.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.0460,0.0000,0.0000,0.0000
10264,11:32:49,SAFETY,7.70,61.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.0340,0.0000,0.0000,0.0000
10364,11:32:49,SAFETY,7.70,61.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.0220,0.0000,0.0000,0.0000
10464,11:32:49,SAFETY,7.70,61.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.0130,0.0000,0.0000,0.0000
10564,11:32:49,SAFETY,7.70,61.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.9980,0.0000,0.0000,0.0000
10664,11:32:49,SAFETY,7.70,61.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.9890,0.0000,0.0000,0.0000
10764,11:32:49,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.9790,0.0000,0.0000,0.0000
10864,11:32:49,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.9640,0.0000,0.0000,0.0000
10964,11:32:49,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.9560,0.0000,0.0000,0.0000
11064,11:32:50,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.9410,0.0000,0.0000,0.0000
11164,11:32:50,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.9320,0.0000,0.0000,0.0000
11264,11:32:50,SAFETY,7.62,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.9230,0.0000,0.0000,0.0000
11364,11:32:50,SAFETY,7.62,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.9130,0.0000,0.0000,0.0000
11464,11:32:50,SAFETY,7.62,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.9050,0.0000,0.0000,0.0000
11564,11:32:50,SAFETY,7.62,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8910,0.0000,0.0000,0.0000
11664,11:32:50,SAFETY,7.62,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8810,0.0000,0.0000,0.0000
11764,11:32:50,SAFETY,7.69,60.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8700,0.0000,0.0000,0.0000
11864,11:32:50,SAFETY,7.69,60.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8640,0.0000,0.0000,0.0000
