millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
370425,16:38:22,SAFETY,7.81,67.2,0.1000,-0.0100,0.0003,-0.0012,1.5000,1.5030,-0.0015,1.1616,-0.0028,-0.0025,0.2222,2.500,0.200,3.000,3.100,1.500,0.080,0.400,0.5070,0.0000,0.0000,0.0000
370525,16:38:22,SAFETY,7.81,67.2,0.1000,-0.0100,0.0003,-0.0012,1.5000,1.5030,-0.0015,1.1616,-0.0028,-0.0025,0.2222,2.500,0.200,3.000,3.100,1.500,0.080,0.400,0.5070,0.0000,0.0000,0.0000
370625,16:38:22,SAFETY,7.76,64.5,0.1000,-0.0100,0.0003,-0.0012,1.5000,1.5030,-0.0015,1.1616,-0.0028,-0.0025,0.2222,2.500,0.200,3.000,3.100,1.500,0.080,0.400,0.5110,0.0000,0.0000,0.0000
370725,16:38:22,SAFETY,7.76,64.5,0.1000,-0.0100,0.0003,-0.0012,1.5000,1.5030,-0.0015,1.1616,-0.0028,-0.0025,0.2222,2.500,0.200,3.000,3.100,1.500,0.080,0.400,0.5110,0.0000,0.0000,0.0000
370825,16:38:22,SAFETY,7.76,64.5,0.1000,-0.0100,0.0003,-0.0012,1.5000,1.5030,-0.0015,1.1616,-0.0028,-0.0025,0.2222,2.500,0.200,3.000,3.100,1.500,0.080,0.400,0.5160,0.0000,0.0000,0.0000
370925,16:38:22,SAFETY,7.76,64.5,0.1000,-0.0100,0.0003,-0.0012,1.5000,1.5030,-0.0015,1.1616,-0.0028,-0.0025,0.2222,2.500,0.200,3.000,3.100,1.500,0.080,0.400,0.5150,0.0000,0.0000,0.0000
371025,16:38:22,SAFETY,7.76,64.5,0.1000,-0.0100,0.0003,-0.0012,1.5000,1.5030,-0.0015,1.1616,-0.0028,-0.0025,0.2222,2.500,0.200,3.000,3.100,1.500,0.080,0.400,0.5190,0.0000,0.0000,0.0000
371125,16:38:22,SAFETY,7.85,69.2,0.1000,-0.0100,0.0003,-0.0012,1.5000,1.5030,-0.0015,1.1616,-0.0028,-0.0025,0.2222,2.500,0.200,3.000,3.100,1.500,0.080,0.400,0.5190,0.0000,0.0000,0.0000
371225,16:38:23,SAFETY,7.85,69.2,0.1000,-0.0100,0.0003,-0.0012,1.5000,1.5030,-0.0015,1.1616,-0.0028,-0.0025,0.2222,2.500,0.200,3.000,3.100,1.500,0.080,0.400,0.5220,0.0000,0.0000,0.0000
371325,16:38:23,SAFETY,7.85,69.2,0.1000,-0.0100,0.0003,-0.0012,1.5000,1.5030,-0.0015,1.1616,-0.0028,-0.0025,0.2222,2.500,0.200,3.000,3.100,1.500,0.080,0.400,0.5240,0.0000,0.0000,0.0000
