millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
40012,15:21:00,SAFETY,7.66,59.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0330,0.0000,0.0000,0.0000
40112,15:21:00,SAFETY,7.66,59.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0340,0.0000,0.0000,0.0000
40212,15:21:00,SAFETY,7.66,59.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0340,0.0000,0.0000,0.0000
40312,15:21:00,SAFETY,7.63,57.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0360,0.0000,0.0000,0.0000
40412,15:21:00,SAFETY,7.63,57.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0370,0.0000,0.0000,0.0000
40512,15:21:01,SAFETY,7.63,57.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0390,0.0000,0.0000,0.0000
40614,15:21:01,SAFETY,7.63,57.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0390,0.0000,0.0000,0.0000
40714,15:21:01,SAFETY,7.63,57.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0410,0.0000,0.0000,0.0000
40814,15:21:01,SAFETY,7.57,53.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0400,0.0000,0.0000,0.0000
40914,15:21:01,SAFETY,7.57,53.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0420,0.0000,0.0000,0.0000
41014,15:21:01,SAFETY,7.57,53.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0420,0.0000,0.0000,0.0000
41114,15:21:01,SAFETY,7.57,53.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0430,0.0000,0.0000,0.0000
41214,15:21:01,SAFETY,7.57,53.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0430,0.0000,0.0000,0.0000
41317,15:21:01,SAFETY,7.59,55.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0460,0.0000,0.0000,0.0000
41417,15:21:01,SAFETY,7.59,55.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.100,1.000,3.100,1.500,0.080,0.500,0.0430,0.0000,0.0000,0.0000
