millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat,v_ref,z_ref,z_meas,int_ev,u_pi,Kp_up,Ki_up,Kp_down,Ki_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
3765,11:45:34,SAFETY,8.16,86.4,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,0.0000,0.0000,0.0000,0.0000
3865,11:45:34,SAFETY,8.16,86.4,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,0.0000,0.0000,0.0000,0.0000
3965,11:45:34,SAFETY,8.16,86.4,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.5690,0.0000,0.0000,0.0000
4065,11:45:34,SAFETY,8.16,86.4,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.5560,0.0000,0.0000,0.0000
4165,11:45:34,SAFETY,8.16,86.4,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.5540,0.0000,0.0000,0.0000
4265,11:45:34,SAFETY,8.22,89.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.5340,0.0000,0.0000,0.0000
4365,11:45:34,SAFETY,8.22,89.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.5380,0.0000,0.0000,0.0000
4465,11:45:34,SAFETY,8.22,89.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.5180,0.0000,0.0000,0.0000
4565,11:45:35,SAFETY,8.22,89.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.5180,0.0000,0.0000,0.0000
4665,11:45:35,SAFETY,8.22,89.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.4910,0.0000,0.0000,0.0000
4765,11:45:35,SAFETY,8.25,91.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.4790,0.0000,0.0000,0.0000
4865,11:45:35,SAFETY,8.25,91.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.4580,0.0000,0.0000,0.0000
4965,11:45:35,SAFETY,8.25,91.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.4430,0.0000,0.0000,0.0000
5065,11:45:35,SAFETY,8.25,91.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.4300,0.0000,0.0000,0.0000
5165,11:45:35,SAFETY,8.25,91.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.4220,0.0000,0.0000,0.0000
5265,11:45:35,SAFETY,8.16,86.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.4030,0.0000,0.0000,0.0000
5365,11:45:35,SAFETY,8.16,86.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.3960,0.0000,0.0000,0.0000
5465,11:45:35,SAFETY,8.16,86.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,1.600,0.100,3.100,1.500,0.600,1.3760,0.0000,0.0000,0.0000
