millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
32711,16:32:44,SAFETY,8.04,80.1,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3600,0.0000,0.0000,0.0000
32834,16:32:44,SAFETY,7.93,73.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3610,0.0000,0.0000,0.0000
32934,16:32:44,SAFETY,7.93,73.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3600,0.0000,0.0000,0.0000
33034,16:32:44,SAFETY,7.93,73.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3560,0.0000,0.0000,0.0000
33134,16:32:44,SAFETY,7.93,73.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3560,0.0000,0.0000,0.0000
33234,16:32:44,SAFETY,7.93,73.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3520,0.0000,0.0000,0.0000
33334,16:32:44,SAFETY,7.96,75.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3540,0.0000,0.0000,0.0000
33437,16:32:44,SAFETY,7.96,75.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3510,0.0000,0.0000,0.0000
33537,16:32:45,SAFETY,7.96,75.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3520,0.0000,0.0000,0.0000
33637,16:32:45,SAFETY,7.96,75.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3510,0.0000,0.0000,0.0000
33737,16:32:45,SAFETY,7.96,75.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3510,0.0000,0.0000,0.0000
33837,16:32:45,SAFETY,7.99,77.2,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.500,0.200,2.000,3.100,1.500,0.080,0.400,0.3510,0.0000,0.0000,0.0000
