millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
9766,11:22:41,SAFETY,7.72,62.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.0000,0.0000,0.0000,0.0000
9866,11:22:41,SAFETY,7.72,62.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.0000,0.0000,0.0000,0.0000
9966,11:22:41,SAFETY,7.72,62.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.9110,0.0000,0.0000,0.0000
10066,11:22:41,SAFETY,7.72,62.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.9110,0.0000,0.0000,0.0000
10166,11:22:41,SAFETY,7.72,62.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8990,0.0000,0.0000,0.0000
10266,11:22:41,SAFETY,7.70,60.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8990,0.0000,0.0000,0.0000
10366,11:22:41,SAFETY,7.70,60.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8850,0.0000,0.0000,0.0000
10466,11:22:41,SAFETY,7.70,60.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8800,0.0000,0.0000,0.0000
10566,11:22:42,SAFETY,7.70,60.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8680,0.0000,0.0000,0.0000
10666,11:22:42,SAFETY,7.70,60.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8600,0.0000,0.0000,0.0000
10766,11:22:42,SAFETY,7.65,58.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8470,0.0000,0.0000,0.0000
10866,11:22:42,SAFETY,7.65,58.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8400,0.0000,0.0000,0.0000
10966,11:22:42,SAFETY,7.65,58.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8290,0.0000,0.0000,0.0000
11066,11:22:42,SAFETY,7.65,58.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8210,0.0000,0.0000,0.0000
11166,11:22:42,SAFETY,7.65,58.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8120,0.0000,0.0000,0.0000
11266,11:22:42,SAFETY,7.70,61.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.8020,0.0000,0.0000,0.0000
11366,11:22:42,SAFETY,7.70,61.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.7940,0.0000,0.0000,0.0000
11466,11:22:42,SAFETY,7.70,61.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.7840,0.0000,0.0000,0.0000
11566,11:22:43,SAFETY,7.70,61.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.7770,0.0000,0.0000,0.0000
11666,11:22:43,SAFETY,7.70,61.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.7670,0.0000,0.0000,0.0000
11766,11:22:43,SAFETY,7.63,57.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,0.500,3.100,1.500,0.080,0.600,0.7570,0.0000,0.0000,0.0000
