millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
387200,15:56:36,SAFETY,7.98,76.8,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4990,0.0000,0.0000,0.0000
387304,15:56:37,SAFETY,7.98,76.8,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4990,0.0000,0.0000,0.0000
387405,15:56:37,SAFETY,7.98,76.8,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4980,0.0000,0.0000,0.0000
387505,15:56:37,SAFETY,7.98,76.8,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4980,0.0000,0.0000,0.0000
387605,15:56:37,SAFETY,7.95,75.0,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4980,0.0000,0.0000,0.0000
387705,15:56:37,SAFETY,7.95,75.0,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4970,0.0000,0.0000,0.0000
387805,15:56:37,SAFETY,7.95,75.0,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4960,0.0000,0.0000,0.0000
387905,15:56:37,SAFETY,7.95,75.0,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4960,0.0000,0.0000,0.0000
388005,15:56:37,SAFETY,7.95,75.0,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4950,0.0000,0.0000,0.0000
388105,15:56:37,SAFETY,7.97,76.1,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4940,0.0000,0.0000,0.0000
388205,15:56:37,SAFETY,7.97,76.1,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4900,0.0000,0.0000,0.0000
388305,15:56:38,SAFETY,7.97,76.1,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4880,0.0000,0.0000,0.0000
388405,15:56:38,SAFETY,7.97,76.1,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4890,0.0000,0.0000,0.0000
388505,15:56:38,SAFETY,7.97,76.1,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4880,0.0000,0.0000,0.0000
388605,15:56:38,SAFETY,8.02,79.0,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4870,0.0000,0.0000,0.0000
388705,15:56:38,SAFETY,8.02,79.0,0.1000,0.1000,0.0018,0.0654,1.5000,1.3910,0.0636,4.8657,-0.0669,-0.0364,0.6273,2.500,0.100,0.000,3.100,1.500,0.080,0.600,0.4860,0.0000,0.0000,0.0000
